# HELP cadvisor_version_info A metric with a constant '1' value labeled by kernel version, OS version, docker version, cadvisor version & cadvisor revision.
# TYPE cadvisor_version_info gauge
cadvisor_version_info{cadvisorRevision="",cadvisorVersion="",dockerVersion="17.03.2-ce",kernelVersion="4.4.86+",osVersion="Container-Optimized OS from Google"} 1
# HELP container_cpu_cfs_periods_total Number of elapsed enforcement period intervals.
# TYPE container_cpu_cfs_periods_total counter
container_cpu_cfs_periods_total{container_name="",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 928708
# TYPE container_cpu_load_average_10s gauge
container_cpu_load_average_10s{container_name="",id="/",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/init.scope",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/kubepods",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/kubepods/besteffort",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/kubepods/burstable",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/kubepods/burstable/pod24d6daa3-10d8-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/kubepods/burstable/pod260c2b1d43b094af6d6b4ccba082c2db",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/kubepods/burstable/pod2edfd4d9-10ce-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/kubepods/burstable/podc2319815-10d0-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/audit-rules.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/cloud-config.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/cloud-final.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/cloud-init-local.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/cloud-init.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/crash-reporter.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/dbus.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/docker.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/gcr-wait-online.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/google-shutdown-scripts.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/ip6tables-setup.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/iptables-setup.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/kmod-static-nodes.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/kube-docker-monitor.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/kube-node-configuration.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/kube-node-installation.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/kubelet-monitor.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/kubelet.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/ldconfig.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/node-problem-detector.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/sshd.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-serial\\x2dgetty.slice",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-serial\\x2dgetty.slice/serial-getty@ttyS0.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-sysdaemons.slice",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-sysdaemons.slice/device_policy_manager.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-sysdaemons.slice/google-accounts-daemon.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-sysdaemons.slice/google-clock-skew-daemon.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-sysdaemons.slice/google-ip-forwarding-daemon.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-sysdaemons.slice/init-device-policy.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-sysdaemons.slice/metrics-daemon.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-sysdaemons.slice/update-engine.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/system-systemd\\x2dfsck.slice",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-journal-catalog-update.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-journal-flush.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-journald.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-logind.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-networkd-wait-online.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-networkd.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-remount-fs.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-resolved.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-sysctl.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-timesyncd.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-tmpfiles-setup-dev.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-tmpfiles-setup.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-udev-trigger.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-udevd.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-update-done.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/systemd-user-sessions.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/system.slice/user-data-wait-online.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="",id="/user.slice",image="",name="",namespace="",pod_name=""} 0
container_cpu_load_average_10s{container_name="POD",id="/kubepods/burstable/pod24d6daa3-10d8-11e8-bd5a-42010af00137/e2133c3d1e43921cc1bf6ed3382adb25bb8fae0553c3d81469c23e63717f785b",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_demo-app-success-c485bc67b-klj45_default_24d6daa3-10d8-11e8-bd5a-42010af00137_0",namespace="default",pod_name="demo-app-success-c485bc67b-klj45"} 0
container_cpu_load_average_10s{container_name="POD",id="/kubepods/burstable/pod260c2b1d43b094af6d6b4ccba082c2db/0bce0ef7e6cd073e8f9cec3027e1c0057ce1baddce98113d742b816726a95ab1",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_kube-proxy-gke-haissam-default-pool-be5066f1-wnvn_kube-system_260c2b1d43b094af6d6b4ccba082c2db_0",namespace="kube-system",pod_name="kube-proxy-gke-haissam-default-pool-be5066f1-wnvn"} 0
container_cpu_load_average_10s{container_name="POD",id="/kubepods/burstable/pod2edfd4d9-10ce-11e8-bd5a-42010af00137/7990c0e549a1a578b1313475540afc53c91081c32e735564da6244ddf0b86030",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_fluentd-gcp-v2.0.10-9q9t4_kube-system_2edfd4d9-10ce-11e8-bd5a-42010af00137_0",namespace="kube-system",pod_name="fluentd-gcp-v2.0.10-9q9t4"} 0
container_cpu_load_average_10s{container_name="POD",id="/kubepods/burstable/podc2319815-10d0-11e8-bd5a-42010af00137/8e2e28e29f40857bdf84579282696f0b963fdd26a1aaaf64a9841ca765ce6c7f",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_datadog-agent-jbm2k_default_c2319815-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="datadog-agent-jbm2k"} 0
container_cpu_load_average_10s{container_name="POD",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137/af089a8aefc63968f727bb97d24ba35768e04c4df405e26fe94256d53a151f61",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_dd-agent-q6hpw_default_d2e71e36-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="dd-agent-q6hpw"} 0
container_cpu_load_average_10s{container_name="datadog-agent",id="/kubepods/burstable/podc2319815-10d0-11e8-bd5a-42010af00137/a335589109ce5506aa69ba7481fc3e6c943abd23c5277016c92dac15d0f40479",image="datadog/agent-dev@sha256:894fb66f89be0332a47388d7219ab8b365520ff0e3bbf597bd0a378b19efa7ee",name="k8s_datadog-agent_datadog-agent-jbm2k_default_c2319815-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="datadog-agent-jbm2k"} 0
container_cpu_load_average_10s{container_name="dd-agent",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137/326b384481ca95204018e3e837c61e522b64a3b86c3804142a22b2d1db9dbd7b",image="datadog/dev-dd-agent@sha256:1672a9c8741813070b5fac803d598c379e37e678e989582c55b7659b01f36eb4",name="k8s_dd-agent_dd-agent-q6hpw_default_d2e71e36-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="dd-agent-q6hpw"} 0
container_cpu_load_average_10s{container_name="demo-app",id="/kubepods/burstable/pod24d6daa3-10d8-11e8-bd5a-42010af00137/5f93d91c7aee0230f77fbe9ec642dd60958f5098e76de270a933285c24dfdc6f",image="hkaj/demo-app@sha256:0b638d574b905c853c67f69801677d219ae177c38d7fab25292934ec5564642f",name="k8s_demo-app_demo-app-success-c485bc67b-klj45_default_24d6daa3-10d8-11e8-bd5a-42010af00137_0",namespace="default",pod_name="demo-app-success-c485bc67b-klj45"} 0
container_cpu_load_average_10s{container_name="fluentd-gcp",id="/kubepods/burstable/pod2edfd4d9-10ce-11e8-bd5a-42010af00137/5741ed2471c0e458b6b95db40ba05d1a5ee168256638a0264f08703e48d76561",image="asia.gcr.io/google-containers/fluentd-gcp@sha256:a81a2c0137aee9f8a3e870898773976df9b63b27809bed2a4b9297531fb3c3c9",name="k8s_fluentd-gcp_fluentd-gcp-v2.0.10-9q9t4_kube-system_2edfd4d9-10ce-11e8-bd5a-42010af00137_0",namespace="kube-system",pod_name="fluentd-gcp-v2.0.10-9q9t4"} 0
container_cpu_load_average_10s{container_name="kube-proxy",id="/kubepods/burstable/pod260c2b1d43b094af6d6b4ccba082c2db/2f578c0a9e0d90295953d341c9df064d2415206ee6984c1988c0bbe7adc63b21",image="sha256:750d6815c2ab8c63f5ba1247e1a294cc3c6fc72cb93ddfdcb6f7e59e899186a8",name="k8s_kube-proxy_kube-proxy-gke-haissam-default-pool-be5066f1-wnvn_kube-system_260c2b1d43b094af6d6b4ccba082c2db_0",namespace="kube-system",pod_name="kube-proxy-gke-haissam-default-pool-be5066f1-wnvn"} 0
container_cpu_load_average_10s{container_name="prometheus-to-sd-exporter",id="/kubepods/burstable/pod2edfd4d9-10ce-11e8-bd5a-42010af00137/580cb469826a10317fd63cc780441920f49913ae63918d4c7b19a72347645b05",image="asia.gcr.io/google-containers/prometheus-to-sd@sha256:5831390762c790b0375c202579fd41dd5f40c71950f7538adbe14b0c16f35d56",name="k8s_prometheus-to-sd-exporter_fluentd-gcp-v2.0.10-9q9t4_kube-system_2edfd4d9-10ce-11e8-bd5a-42010af00137_0",namespace="kube-system",pod_name="fluentd-gcp-v2.0.10-9q9t4"} 0
# HELP container_cpu_system_seconds_total Cumulative system cpu time consumed in seconds.
# TYPE container_cpu_system_seconds_total counter
container_cpu_system_seconds_total{container_name="",id="/",image="",name="",namespace="",pod_name=""} 3268.53
container_cpu_system_seconds_total{container_name="",id="/init.scope",image="",name="",namespace="",pod_name=""} 2.4
container_cpu_system_seconds_total{container_name="",id="/kubepods",image="",name="",namespace="",pod_name=""} 931.1
container_cpu_system_seconds_total{container_name="",id="/kubepods/besteffort",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/kubepods/burstable",image="",name="",namespace="",pod_name=""} 931.1
container_cpu_system_seconds_total{container_name="",id="/kubepods/burstable/pod24d6daa3-10d8-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 1.86
container_cpu_system_seconds_total{container_name="",id="/kubepods/burstable/pod260c2b1d43b094af6d6b4ccba082c2db",image="",name="",namespace="",pod_name=""} 81.96
container_cpu_system_seconds_total{container_name="",id="/kubepods/burstable/pod2edfd4d9-10ce-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 236.74
container_cpu_system_seconds_total{container_name="",id="/kubepods/burstable/podc2319815-10d0-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 1.47
container_cpu_system_seconds_total{container_name="",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 609.05
container_cpu_system_seconds_total{container_name="",id="/system.slice",image="",name="",namespace="",pod_name=""} 2299.01
container_cpu_system_seconds_total{container_name="",id="/system.slice/audit-rules.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/cloud-config.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/cloud-final.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/cloud-init-local.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/cloud-init.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/crash-reporter.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/dbus.service",image="",name="",namespace="",pod_name=""} 0.08
container_cpu_system_seconds_total{container_name="",id="/system.slice/docker.service",image="",name="",namespace="",pod_name=""} 151.3
container_cpu_system_seconds_total{container_name="",id="/system.slice/gcr-wait-online.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/google-shutdown-scripts.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/ip6tables-setup.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/iptables-setup.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/kmod-static-nodes.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/kube-docker-monitor.service",image="",name="",namespace="",pod_name=""} 120.62
container_cpu_system_seconds_total{container_name="",id="/system.slice/kube-node-configuration.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/kube-node-installation.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/kubelet-monitor.service",image="",name="",namespace="",pod_name=""} 55.8
container_cpu_system_seconds_total{container_name="",id="/system.slice/kubelet.service",image="",name="",namespace="",pod_name=""} 1829.17
container_cpu_system_seconds_total{container_name="",id="/system.slice/ldconfig.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/node-problem-detector.service",image="",name="",namespace="",pod_name=""} 76.05
container_cpu_system_seconds_total{container_name="",id="/system.slice/sshd.service",image="",name="",namespace="",pod_name=""} 3.01
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-serial\\x2dgetty.slice",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-serial\\x2dgetty.slice/serial-getty@ttyS0.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-sysdaemons.slice",image="",name="",namespace="",pod_name=""} 21.8
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-sysdaemons.slice/device_policy_manager.service",image="",name="",namespace="",pod_name=""} 0.3
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-sysdaemons.slice/google-accounts-daemon.service",image="",name="",namespace="",pod_name=""} 1.69
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-sysdaemons.slice/google-clock-skew-daemon.service",image="",name="",namespace="",pod_name=""} 0.6
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-sysdaemons.slice/google-ip-forwarding-daemon.service",image="",name="",namespace="",pod_name=""} 7.35
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-sysdaemons.slice/init-device-policy.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-sysdaemons.slice/metrics-daemon.service",image="",name="",namespace="",pod_name=""} 11.35
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-sysdaemons.slice/update-engine.service",image="",name="",namespace="",pod_name=""} 0.43
container_cpu_system_seconds_total{container_name="",id="/system.slice/system-systemd\\x2dfsck.slice",image="",name="",namespace="",pod_name=""} 0.09
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-journal-catalog-update.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-journal-flush.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-journald.service",image="",name="",namespace="",pod_name=""} 36.63
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-logind.service",image="",name="",namespace="",pod_name=""} 0.1
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-networkd-wait-online.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-networkd.service",image="",name="",namespace="",pod_name=""} 0.09
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-remount-fs.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-resolved.service",image="",name="",namespace="",pod_name=""} 0.12
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-sysctl.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-timesyncd.service",image="",name="",namespace="",pod_name=""} 0.14
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-tmpfiles-setup-dev.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-tmpfiles-setup.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-udev-trigger.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-udevd.service",image="",name="",namespace="",pod_name=""} 0.57
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-update-done.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/systemd-user-sessions.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/system.slice/user-data-wait-online.service",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="",id="/user.slice",image="",name="",namespace="",pod_name=""} 0
container_cpu_system_seconds_total{container_name="POD",id="/kubepods/burstable/pod24d6daa3-10d8-11e8-bd5a-42010af00137/e2133c3d1e43921cc1bf6ed3382adb25bb8fae0553c3d81469c23e63717f785b",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_demo-app-success-c485bc67b-klj45_default_24d6daa3-10d8-11e8-bd5a-42010af00137_0",namespace="default",pod_name="demo-app-success-c485bc67b-klj45"} 0
container_cpu_system_seconds_total{container_name="POD",id="/kubepods/burstable/pod260c2b1d43b094af6d6b4ccba082c2db/0bce0ef7e6cd073e8f9cec3027e1c0057ce1baddce98113d742b816726a95ab1",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_kube-proxy-gke-haissam-default-pool-be5066f1-wnvn_kube-system_260c2b1d43b094af6d6b4ccba082c2db_0",namespace="kube-system",pod_name="kube-proxy-gke-haissam-default-pool-be5066f1-wnvn"} 0.01
container_cpu_system_seconds_total{container_name="POD",id="/kubepods/burstable/pod2edfd4d9-10ce-11e8-bd5a-42010af00137/7990c0e549a1a578b1313475540afc53c91081c32e735564da6244ddf0b86030",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_fluentd-gcp-v2.0.10-9q9t4_kube-system_2edfd4d9-10ce-11e8-bd5a-42010af00137_0",namespace="kube-system",pod_name="fluentd-gcp-v2.0.10-9q9t4"} 0
container_cpu_system_seconds_total{container_name="POD",id="/kubepods/burstable/podc2319815-10d0-11e8-bd5a-42010af00137/8e2e28e29f40857bdf84579282696f0b963fdd26a1aaaf64a9841ca765ce6c7f",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_datadog-agent-jbm2k_default_c2319815-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="datadog-agent-jbm2k"} 0
container_cpu_system_seconds_total{container_name="POD",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137/af089a8aefc63968f727bb97d24ba35768e04c4df405e26fe94256d53a151f61",image="gcr.io/google_containers/pause-amd64:3.0",name="k8s_POD_dd-agent-q6hpw_default_d2e71e36-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="dd-agent-q6hpw"} 0
container_cpu_system_seconds_total{container_name="datadog-agent",id="/kubepods/burstable/podc2319815-10d0-11e8-bd5a-42010af00137/a335589109ce5506aa69ba7481fc3e6c943abd23c5277016c92dac15d0f40479",image="datadog/agent-dev@sha256:894fb66f89be0332a47388d7219ab8b365520ff0e3bbf597bd0a378b19efa7ee",name="k8s_datadog-agent_datadog-agent-jbm2k_default_c2319815-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="datadog-agent-jbm2k"} 1.47
container_cpu_system_seconds_total{container_name="dd-agent",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137/326b384481ca95204018e3e837c61e522b64a3b86c3804142a22b2d1db9dbd7b",image="datadog/dev-dd-agent@sha256:1672a9c8741813070b5fac803d598c379e37e678e989582c55b7659b01f36eb4",name="k8s_dd-agent_dd-agent-q6hpw_default_d2e71e36-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="dd-agent-q6hpw"} 609.03
container_cpu_system_seconds_total{container_name="demo-app",id="/kubepods/burstable/pod24d6daa3-10d8-11e8-bd5a-42010af00137/5f93d91c7aee0230f77fbe9ec642dd60958f5098e76de270a933285c24dfdc6f",image="hkaj/demo-app@sha256:0b638d574b905c853c67f69801677d219ae177c38d7fab25292934ec5564642f",name="k8s_demo-app_demo-app-success-c485bc67b-klj45_default_24d6daa3-10d8-11e8-bd5a-42010af00137_0",namespace="default",pod_name="demo-app-success-c485bc67b-klj45"} 1.85
